subject	run	trial	syllable	wav_file	syllable_number	onset_sec	offset_sec
sub-02	1	1	juh	behav_sub-02_run-01_trial-01.wav	1	0.5325	0.6725
sub-02	1	1	juh	behav_sub-02_run-01_trial-01.wav	2	0.6725	0.8525
sub-02	1	1	juh	behav_sub-02_run-01_trial-01.wav	3	0.8525	1.0125
sub-02	1	1	juh	behav_sub-02_run-01_trial-01.wav	4	1.0125	1.2125
sub-02	1	1	juh	behav_sub-02_run-01_trial-01.wav	5	1.2125	1.3725
sub-02	1	1	juh	behav_sub-02_run-01_trial-01.wav	6	1.3725	1.5325
sub-02	1	1	juh	behav_sub-02_run-01_trial-01.wav	7	1.5325	1.7325
sub-02	1	1	juh	behav_sub-02_run-01_trial-01.wav	8	1.7325	1.9325
sub-02	1	1	juh	behav_sub-02_run-01_trial-01.wav	9	1.9325	2.1325
sub-02	1	1	juh	behav_sub-02_run-01_trial-01.wav	10	2.1325	2.2925
sub-02	1	1	juh	behav_sub-02_run-01_trial-01.wav	11	2.2925	2.4925
sub-02	1	1	juh	behav_sub-02_run-01_trial-01.wav	12	2.4925	2.6525
sub-02	1	1	juh	behav_sub-02_run-01_trial-01.wav	13	2.6525	2.8725
sub-02	1	1	juh	behav_sub-02_run-01_trial-01.wav	14	2.8725	3.0525
sub-02	1	1	juh	behav_sub-02_run-01_trial-01.wav	15	3.0525	3.2925
sub-02	1	1	juh	behav_sub-02_run-01_trial-01.wav	16	3.2925	3.4925
sub-02	1	1	juh	behav_sub-02_run-01_trial-01.wav	17	3.4925	3.6925
sub-02	1	1	juh	behav_sub-02_run-01_trial-01.wav	18	3.6925	3.8925
sub-02	1	1	juh	behav_sub-02_run-01_trial-01.wav	19	3.8925	4.1325
sub-02	1	1	juh	behav_sub-02_run-01_trial-01.wav	20	4.1325	4.3725
sub-02	1	1	juh	behav_sub-02_run-01_trial-01.wav	21	4.3725	4.5725
sub-02	1	1	juh	behav_sub-02_run-01_trial-01.wav	22	4.5725	4.7925
sub-02	1	2	thurs	behav_sub-02_run-01_trial-02.wav	1	1.3525	1.5325
sub-02	1	2	thurs	behav_sub-02_run-01_trial-02.wav	2	1.5325	1.7925
sub-02	1	2	thurs	behav_sub-02_run-01_trial-02.wav	3	1.7925	2.0925
sub-02	1	2	thurs	behav_sub-02_run-01_trial-02.wav	4	2.0925	2.3525
sub-02	1	2	thurs	behav_sub-02_run-01_trial-02.wav	5	2.3525	2.6525
sub-02	1	2	thurs	behav_sub-02_run-01_trial-02.wav	6	2.6525	2.9525
sub-02	1	2	thurs	behav_sub-02_run-01_trial-02.wav	7	2.9525	3.2725
sub-02	1	2	thurs	behav_sub-02_run-01_trial-02.wav	8	3.2725	3.6125
sub-02	1	2	thurs	behav_sub-02_run-01_trial-02.wav	9	3.6125	3.9525
sub-02	1	2	thurs	behav_sub-02_run-01_trial-02.wav	10	3.9525	4.3325
sub-02	1	2	thurs	behav_sub-02_run-01_trial-02.wav	11	4.3325	4.8525
sub-02	1	3	day	behav_sub-02_run-01_trial-03.wav	1	0.6525	0.8525
sub-02	1	3	day	behav_sub-02_run-01_trial-03.wav	2	0.8525	1.0525
sub-02	1	3	day	behav_sub-02_run-01_trial-03.wav	3	1.0525	1.2925
sub-02	1	3	day	behav_sub-02_run-01_trial-03.wav	4	1.2925	1.5325
sub-02	1	3	day	behav_sub-02_run-01_trial-03.wav	5	1.5325	1.7325
sub-02	1	3	day	behav_sub-02_run-01_trial-03.wav	6	1.7925	2.0125
sub-02	1	3	day	behav_sub-02_run-01_trial-03.wav	7	2.0725	2.2925
sub-02	1	3	day	behav_sub-02_run-01_trial-03.wav	8	2.2925	2.5325
sub-02	1	3	day	behav_sub-02_run-01_trial-03.wav	9	2.5925	2.8525
sub-02	1	3	day	behav_sub-02_run-01_trial-03.wav	10	2.8525	3.1325
sub-02	1	3	day	behav_sub-02_run-01_trial-03.wav	11	3.1925	3.4125
sub-02	1	3	day	behav_sub-02_run-01_trial-03.wav	12	3.4125	3.6525
sub-02	1	3	day	behav_sub-02_run-01_trial-03.wav	13	3.6925	3.9325
sub-02	1	3	day	behav_sub-02_run-01_trial-03.wav	14	3.9325	4.1725
sub-02	1	3	day	behav_sub-02_run-01_trial-03.wav	15	4.1725	4.3725
sub-02	1	3	day	behav_sub-02_run-01_trial-03.wav	16	4.3725	4.6125
sub-02	1	4	thrilled	behav_sub-02_run-01_trial-04.wav	1	0.7525	1.0925
sub-02	1	4	thrilled	behav_sub-02_run-01_trial-04.wav	2	1.0925	1.3525
sub-02	1	4	thrilled	behav_sub-02_run-01_trial-04.wav	3	1.3525	1.7325
sub-02	1	4	thrilled	behav_sub-02_run-01_trial-04.wav	4	1.7325	2.1325
sub-02	1	4	thrilled	behav_sub-02_run-01_trial-04.wav	5	2.1325	2.2925
sub-02	1	4	thrilled	behav_sub-02_run-01_trial-04.wav	6	2.2925	2.5325
sub-02	1	4	thrilled	behav_sub-02_run-01_trial-04.wav	7	2.6725	2.9725
sub-02	1	4	thrilled	behav_sub-02_run-01_trial-04.wav	8	2.9725	3.3925
sub-02	1	4	thrilled	behav_sub-02_run-01_trial-04.wav	9	3.4925	3.9125
sub-02	1	4	thrilled	behav_sub-02_run-01_trial-04.wav	10	4.0925	4.3925
sub-02	1	4	thrilled	behav_sub-02_run-01_trial-04.wav	11	4.3925	4.5725
sub-02	1	5	would	behav_sub-02_run-01_trial-05.wav	1	0.8325	0.9725
sub-02	1	5	would	behav_sub-02_run-01_trial-05.wav	2	0.9725	1.2125
sub-02	1	5	would	behav_sub-02_run-01_trial-05.wav	3	1.2125	1.4525
sub-02	1	5	would	behav_sub-02_run-01_trial-05.wav	4	1.4525	1.6925
sub-02	1	5	would	behav_sub-02_run-01_trial-05.wav	5	1.6925	1.9325
sub-02	1	5	would	behav_sub-02_run-01_trial-05.wav	6	1.9325	2.1725
sub-02	1	5	would	behav_sub-02_run-01_trial-05.wav	7	2.1725	2.4125
sub-02	1	5	would	behav_sub-02_run-01_trial-05.wav	8	2.4125	2.4925
sub-02	1	5	would	behav_sub-02_run-01_trial-05.wav	9	2.4925	2.6925
sub-02	1	5	would	behav_sub-02_run-01_trial-05.wav	10	2.6925	2.7725
sub-02	1	5	would	behav_sub-02_run-01_trial-05.wav	11	2.8125	2.9325
sub-02	1	5	would	behav_sub-02_run-01_trial-05.wav	12	2.9325	3.1725
sub-02	1	5	would	behav_sub-02_run-01_trial-05.wav	13	3.1725	3.4525
sub-02	1	5	would	behav_sub-02_run-01_trial-05.wav	14	3.4525	3.6725
