subject	run	trial	syllable	wav_file	syllable_number	onset_sec	offset_sec
sub-06	1	1	out	sub-06_run-01_trial-01.wav	1	0.7125	1.0725
sub-06	1	1	out	sub-06_run-01_trial-01.wav	2	1.1325	1.4525
sub-06	1	1	out	sub-06_run-01_trial-01.wav	3	1.5125	1.8125
sub-06	1	1	out	sub-06_run-01_trial-01.wav	4	1.8925	2.1725
sub-06	1	1	out	sub-06_run-01_trial-01.wav	5	2.2525	2.5325
sub-06	1	1	out	sub-06_run-01_trial-01.wav	6	2.5325	2.9125
sub-06	1	1	out	sub-06_run-01_trial-01.wav	7	2.9725	3.2925
sub-06	1	1	out	sub-06_run-01_trial-01.wav	8	3.3525	3.6325
sub-06	1	1	out	sub-06_run-01_trial-01.wav	9	3.6325	4.0125
sub-06	1	2	thir	sub-06_run-01_trial-02.wav	1	0.1525	0.3325
sub-06	1	2	thir	sub-06_run-01_trial-02.wav	2	0.6325	1.0125
sub-06	1	2	thir	sub-06_run-01_trial-02.wav	3	1.0125	1.4125
sub-06	1	2	thir	sub-06_run-01_trial-02.wav	4	1.4125	1.8325
sub-06	1	2	thir	sub-06_run-01_trial-02.wav	5	1.9125	2.2725
sub-06	1	2	thir	sub-06_run-01_trial-02.wav	6	2.3525	2.6525
sub-06	1	2	thir	sub-06_run-01_trial-02.wav	7	2.6525	3.0725
sub-06	1	2	thir	sub-06_run-01_trial-02.wav	8	3.0725	3.4925
sub-06	1	2	thir	sub-06_run-01_trial-02.wav	9	3.4925	3.9325
sub-06	1	2	thir	sub-06_run-01_trial-02.wav	10	4.0125	4.5325
sub-06	1	3	how	sub-06_run-01_trial-03.wav	1	0.2725	0.6925
sub-06	1	3	how	sub-06_run-01_trial-03.wav	2	0.6925	1.0725
sub-06	1	3	how	sub-06_run-01_trial-03.wav	3	1.0725	1.4125
sub-06	1	3	how	sub-06_run-01_trial-03.wav	4	1.4125	1.7925
sub-06	1	3	how	sub-06_run-01_trial-03.wav	5	1.7925	2.1525
sub-06	1	3	how	sub-06_run-01_trial-03.wav	6	2.1525	2.5725
sub-06	1	3	how	sub-06_run-01_trial-03.wav	7	2.5725	3.0925
sub-06	1	3	how	sub-06_run-01_trial-03.wav	8	3.0925	3.5325
sub-06	1	3	how	sub-06_run-01_trial-03.wav	9	3.5325	4.0725
sub-06	1	3	how	sub-06_run-01_trial-03.wav	10	4.0725	4.3925
sub-06	1	4	caw	sub-06_run-01_trial-04.wav	1	0.3125	0.6325
sub-06	1	4	caw	sub-06_run-01_trial-04.wav	2	0.7125	1.1125
sub-06	1	4	caw	sub-06_run-01_trial-04.wav	3	1.2525	1.6125
sub-06	1	4	caw	sub-06_run-01_trial-04.wav	4	1.6925	2.0925
sub-06	1	4	caw	sub-06_run-01_trial-04.wav	5	2.1725	2.4925
sub-06	1	4	caw	sub-06_run-01_trial-04.wav	6	2.5925	2.9125
sub-06	1	4	caw	sub-06_run-01_trial-04.wav	7	3.0325	3.3125
sub-06	1	4	caw	sub-06_run-01_trial-04.wav	8	3.3925	3.6525
sub-06	1	4	caw	sub-06_run-01_trial-04.wav	9	3.7525	4.0125
sub-06	1	4	caw	sub-06_run-01_trial-04.wav	10	4.1125	4.2925
sub-06	1	4	caw	sub-06_run-01_trial-04.wav	11	4.3725	4.5125
sub-06	1	4	caw	sub-06_run-01_trial-04.wav	12	4.5125	4.6525
sub-06	1	5	leh	sub-06_run-01_trial-05.wav	1	0.3125	0.6325
sub-06	1	5	leh	sub-06_run-01_trial-05.wav	2	0.6325	0.9325
sub-06	1	5	leh	sub-06_run-01_trial-05.wav	3	0.9925	1.2125
sub-06	1	5	leh	sub-06_run-01_trial-05.wav	4	1.2125	1.5125
sub-06	1	5	leh	sub-06_run-01_trial-05.wav	5	1.5725	1.8925
sub-06	1	5	leh	sub-06_run-01_trial-05.wav	6	2.0925	2.3725
sub-06	1	5	leh	sub-06_run-01_trial-05.wav	7	2.3725	2.9925
sub-06	1	5	leh	sub-06_run-01_trial-05.wav	8	3.1325	3.3725
sub-06	1	5	leh	sub-06_run-01_trial-05.wav	9	3.4925	3.7925
sub-06	1	5	leh	sub-06_run-01_trial-05.wav	10	3.9525	4.2125
sub-06	1	5	leh	sub-06_run-01_trial-05.wav	11	4.3725	4.5125
sub-06	1	6	much	sub-06_run-01_trial-06.wav	1	0.2925	0.8325
sub-06	1	6	much	sub-06_run-01_trial-06.wav	2	0.9725	1.3725
sub-06	1	6	much	sub-06_run-01_trial-06.wav	3	1.5125	1.8925
sub-06	1	6	much	sub-06_run-01_trial-06.wav	4	2.0325	2.3725
sub-06	1	6	much	sub-06_run-01_trial-06.wav	5	2.3725	2.6925
sub-06	1	6	much	sub-06_run-01_trial-06.wav	6	2.6925	2.9525
sub-06	1	6	much	sub-06_run-01_trial-06.wav	7	2.9525	3.2325
sub-06	1	6	much	sub-06_run-01_trial-06.wav	8	3.2325	3.4925
sub-06	1	6	much	sub-06_run-01_trial-06.wav	9	3.4925	3.7725
sub-06	1	6	much	sub-06_run-01_trial-06.wav	10	3.7725	4.0125
sub-06	1	6	much	sub-06_run-01_trial-06.wav	11	4.0125	4.2325
sub-06	1	6	much	sub-06_run-01_trial-06.wav	12	4.2725	4.4725
sub-06	1	7	airy	sub-06_run-01_trial-07.wav	1	0.0725	0.2325
sub-06	1	7	airy	sub-06_run-01_trial-07.wav	2	0.2325	0.4525
sub-06	1	7	airy	sub-06_run-01_trial-07.wav	3	0.4525	0.6525
sub-06	1	7	airy	sub-06_run-01_trial-07.wav	4	0.7125	0.9525
sub-06	1	7	airy	sub-06_run-01_trial-07.wav	5	0.9525	1.1325
sub-06	1	7	airy	sub-06_run-01_trial-07.wav	6	1.1325	1.5125
sub-06	1	7	airy	sub-06_run-01_trial-07.wav	7	1.5525	1.7725
sub-06	1	7	airy	sub-06_run-01_trial-07.wav	8	1.7725	1.9725
sub-06	1	7	airy	sub-06_run-01_trial-07.wav	9	1.9725	2.2325
sub-06	1	7	airy	sub-06_run-01_trial-07.wav	10	2.2325	2.4125
sub-06	1	7	airy	sub-06_run-01_trial-07.wav	11	2.4125	2.6925
sub-06	1	7	airy	sub-06_run-01_trial-07.wav	12	2.6925	2.8725
sub-06	1	7	airy	sub-06_run-01_trial-07.wav	13	2.8725	3.1125
sub-06	1	7	airy	sub-06_run-01_trial-07.wav	14	3.1125	3.2525
sub-06	1	7	airy	sub-06_run-01_trial-07.wav	15	3.2525	3.5325
sub-06	1	7	airy	sub-06_run-01_trial-07.wav	16	3.5325	3.7125
sub-06	1	7	airy	sub-06_run-01_trial-07.wav	17	3.8125	4.0125
sub-06	1	7	airy	sub-06_run-01_trial-07.wav	18	4.0125	4.2525
sub-06	1	7	airy	sub-06_run-01_trial-07.wav	19	4.2525	4.4725
sub-06	1	7	airy	sub-06_run-01_trial-07.wav	20	4.4725	4.5925
sub-06	1	8	chuck	sub-06_run-01_trial-08.wav	1	0.2325	0.4725
sub-06	1	8	chuck	sub-06_run-01_trial-08.wav	2	0.5525	0.8125
sub-06	1	8	chuck	sub-06_run-01_trial-08.wav	3	0.8125	1.0525
sub-06	1	8	chuck	sub-06_run-01_trial-08.wav	4	1.0525	1.4525
sub-06	1	8	chuck	sub-06_run-01_trial-08.wav	5	1.5325	1.7525
sub-06	1	8	chuck	sub-06_run-01_trial-08.wav	6	1.8325	2.0925
sub-06	1	8	chuck	sub-06_run-01_trial-08.wav	7	2.1725	2.4125
sub-06	1	8	chuck	sub-06_run-01_trial-08.wav	8	2.4925	2.7125
sub-06	1	8	chuck	sub-06_run-01_trial-08.wav	9	2.7525	2.9325
sub-06	1	8	chuck	sub-06_run-01_trial-08.wav	10	2.9325	3.0925
sub-06	1	8	chuck	sub-06_run-01_trial-08.wav	11	3.0925	3.2125
sub-06	1	8	chuck	sub-06_run-01_trial-08.wav	12	3.2125	3.3525
sub-06	1	8	chuck	sub-06_run-01_trial-08.wav	13	3.4125	3.5125
sub-06	1	8	chuck	sub-06_run-01_trial-08.wav	14	3.5925	3.7725
