wav_file	error
behav_sub-03_run-01_trial-09.wav	assignment destination is read-only
behav_sub-03_run-01_trial-35.wav	assignment destination is read-only
behav_sub-03_run-01_trial-37.wav	assignment destination is read-only
behav_sub-03_run-02_trial-10.wav	assignment destination is read-only
behav_sub-03_run-02_trial-13.wav	assignment destination is read-only
behav_sub-03_run-02_trial-23.wav	assignment destination is read-only
behav_sub-03_run-02_trial-27.wav	assignment destination is read-only
behav_sub-03_run-02_trial-34.wav	assignment destination is read-only
behav_sub-03_run-02_trial-36.wav	assignment destination is read-only
behav_sub-03_run-02_trial-41.wav	assignment destination is read-only
behav_sub-03_run-03_trial-08.wav	assignment destination is read-only
behav_sub-03_run-03_trial-34.wav	assignment destination is read-only
behav_sub-03_run-03_trial-38.wav	assignment destination is read-only
behav_sub-03_run-03_trial-41.wav	assignment destination is read-only
behav_sub-03_run-04_trial-10.wav	assignment destination is read-only
behav_sub-03_run-04_trial-15.wav	assignment destination is read-only
behav_sub-03_run-04_trial-16.wav	assignment destination is read-only
behav_sub-03_run-04_trial-22.wav	assignment destination is read-only
behav_sub-03_run-04_trial-24.wav	assignment destination is read-only
behav_sub-03_run-04_trial-25.wav	assignment destination is read-only
behav_sub-03_run-04_trial-28.wav	assignment destination is read-only
behav_sub-03_run-04_trial-29.wav	assignment destination is read-only
behav_sub-03_run-04_trial-32.wav	assignment destination is read-only
behav_sub-03_run-04_trial-40.wav	assignment destination is read-only
behav_sub-03_run-04_trial-41.wav	assignment destination is read-only
behav_sub-03_run-04_trial-42.wav	assignment destination is read-only
behav_sub-03_run-05_trial-12.wav	assignment destination is read-only
behav_sub-03_run-05_trial-20.wav	assignment destination is read-only
behav_sub-03_run-05_trial-22.wav	assignment destination is read-only
behav_sub-03_run-05_trial-26.wav	assignment destination is read-only
behav_sub-03_run-05_trial-27.wav	assignment destination is read-only
behav_sub-03_run-05_trial-30.wav	assignment destination is read-only
behav_sub-03_run-05_trial-34.wav	assignment destination is read-only
behav_sub-03_run-05_trial-36.wav	assignment destination is read-only
behav_sub-03_run-05_trial-38.wav	assignment destination is read-only
behav_sub-03_run-06_trial-08.wav	assignment destination is read-only
behav_sub-03_run-06_trial-09.wav	assignment destination is read-only
behav_sub-03_run-06_trial-26.wav	assignment destination is read-only
behav_sub-03_run-06_trial-31.wav	assignment destination is read-only
behav_sub-03_run-06_trial-32.wav	assignment destination is read-only
behav_sub-03_run-07_trial-03.wav	assignment destination is read-only
behav_sub-03_run-07_trial-07.wav	assignment destination is read-only
behav_sub-03_run-07_trial-17.wav	assignment destination is read-only
behav_sub-03_run-07_trial-27.wav	assignment destination is read-only
behav_sub-03_run-07_trial-33.wav	assignment destination is read-only
behav_sub-03_run-07_trial-34.wav	assignment destination is read-only
behav_sub-03_run-08_trial-03.wav	assignment destination is read-only
behav_sub-03_run-08_trial-04.wav	assignment destination is read-only
behav_sub-03_run-08_trial-31.wav	assignment destination is read-only
behav_sub-03_run-08_trial-33.wav	assignment destination is read-only
