subject	run	trial	syllable	wav_file
sub-03	1	1	fee	behav_sub-03_run-01_trial-01.wav
sub-03	1	2	thurs	behav_sub-03_run-01_trial-02.wav
sub-03	1	3	jur	behav_sub-03_run-01_trial-03.wav
sub-03	1	4	much	behav_sub-03_run-01_trial-04.wav
sub-03	1	5	per	behav_sub-03_run-01_trial-05.wav
sub-03	1	6	leh	behav_sub-03_run-01_trial-06.wav
sub-03	1	7	if	behav_sub-03_run-01_trial-07.wav
sub-03	1	8	imah	behav_sub-03_run-01_trial-08.wav
sub-03	1	9	a	behav_sub-03_run-01_trial-09.wav
sub-03	1	10	three	behav_sub-03_run-01_trial-10.wav
sub-03	1	11	ti	behav_sub-03_run-01_trial-11.wav
sub-03	1	12	chuck	behav_sub-03_run-01_trial-12.wav
sub-03	1	13	day	behav_sub-03_run-01_trial-13.wav
sub-03	1	14	less	behav_sub-03_run-01_trial-14.wav
sub-03	1	15	how	behav_sub-03_run-01_trial-15.wav
sub-03	1	16	thought	behav_sub-03_run-01_trial-16.wav
sub-03	1	17	jin	behav_sub-03_run-01_trial-17.wav
sub-03	1	18	would	behav_sub-03_run-01_trial-18.wav
sub-03	1	19	pro	behav_sub-03_run-01_trial-19.wav
sub-03	1	20	picked	behav_sub-03_run-01_trial-20.wav
sub-03	1	21	pi	behav_sub-03_run-01_trial-21.wav
sub-03	1	22	airy	behav_sub-03_run-01_trial-22.wav
sub-03	1	23	ter	behav_sub-03_run-01_trial-23.wav
sub-03	1	24	juh	behav_sub-03_run-01_trial-24.wav
sub-03	1	25	mih	behav_sub-03_run-01_trial-25.wav
sub-03	1	26	peck	behav_sub-03_run-01_trial-26.wav
sub-03	1	27	out	behav_sub-03_run-01_trial-27.wav
sub-03	1	28	thieves	behav_sub-03_run-01_trial-28.wav
sub-03	1	29	thir	behav_sub-03_run-01_trial-29.wav
sub-03	1	30	neh	behav_sub-03_run-01_trial-30.wav
sub-03	1	31	naw	behav_sub-03_run-01_trial-31.wav
sub-03	1	32	pot	behav_sub-03_run-01_trial-32.wav
sub-03	1	33	through	behav_sub-03_run-01_trial-33.wav
sub-03	1	34	per	behav_sub-03_run-01_trial-34.wav
sub-03	1	35	thrilled	behav_sub-03_run-01_trial-35.wav
sub-03	1	36	the	behav_sub-03_run-01_trial-36.wav
sub-03	1	37	throne	behav_sub-03_run-01_trial-37.wav
sub-03	1	38	ther	behav_sub-03_run-01_trial-38.wav
sub-03	1	39	caw	behav_sub-03_run-01_trial-39.wav
sub-03	1	40	pie	behav_sub-03_run-01_trial-40.wav
sub-03	1	41	ver	behav_sub-03_run-01_trial-41.wav
sub-03	1	42	ser	behav_sub-03_run-01_trial-42.wav
sub-03	2	1	fee	behav_sub-03_run-02_trial-01.wav
sub-03	2	2	ver	behav_sub-03_run-02_trial-02.wav
sub-03	2	3	per	behav_sub-03_run-02_trial-03.wav
sub-03	2	4	peck	behav_sub-03_run-02_trial-04.wav
sub-03	2	5	jur	behav_sub-03_run-02_trial-05.wav
