trial_num	condition	stimulus	start_time	go_signal	resp_time	record_time	run	trial	start_time_real	end_time_real
1	simple	a a a a a a a a a	5.0	1.0	4.0	4.5	1	1	5.0000162000069395	10.004861900000833
2	simple	naw naw naw naw naw naw naw naw naw	5.5	1.0	4.0	4.5	1	2	10.00790920003783	10.504844299983233
3	simple	chuck chuck chuck chuck chuck chuck chuck chuck chuck	6.0	1.0	4.0	4.5	1	3	10.509270600043237	11.004438400035724
4	simple	pro pro pro pro pro pro pro pro pro	6.5	1.0	4.0	4.5	1	4	11.010321600013413	11.504685800056905
5	simple	if if if if if if if if if	7.0	1.0	4.0	4.5	1	5	11.507240799954161	12.005263900035061
6	simple	leh leh leh leh leh leh leh leh leh	7.5	1.0	4.0	4.5	1	6	12.01125530002173	12.50464269996155
7	simple	pot pot pot pot pot pot pot pot pot	8.0	1.0	4.0	4.5	1	7	12.507210199953988	13.005096900044009
8	simple	juh juh juh juh juh juh juh juh juh	8.5	1.0	4.0	4.5	1	8	13.007895600050688	13.505506000015885
9	simple	out out out out out out out out out	9.0	1.0	4.0	4.5	1	9	13.508194499998353	14.00499539996963
10	simple	ther ther ther ther ther ther ther ther ther	9.5	1.0	4.0	4.5	1	10	14.007720099994913	14.505332999979146
11	simple	peck peck peck peck peck peck peck peck peck	10.0	1.0	4.0	4.5	1	11	14.507894000038505	15.005247100023553
12	simple	imah imah imah imah imah imah imah imah imah	10.5	1.0	4.0	4.5	1	12	15.007954000029713	15.50477769994177
13	simple	per per per per per per per per per	11.0	1.0	4.0	4.5	1	13	15.508419499965385	16.0132305000443
14	simple	ter ter ter ter ter ter ter ter ter	11.5	1.0	4.0	4.5	1	14	16.01603990001604	16.505752900033258
15	simple	day day day day day day day day day	12.0	1.0	4.0	4.5	1	15	16.508995300042443	17.005018100026064
16	simple	ver ver ver ver ver ver ver ver ver	12.5	1.0	4.0	4.5	1	16	17.007797199999914	17.504369299975224
17	simple	much much much much much much much much much	13.0	1.0	4.0	4.5	1	17	17.508127099950798	18.005920900031924
18	simple	through through through through through through through through through	13.5	1.0	4.0	4.5	1	18	18.010202400037088	18.50583879998885
19	simple	how how how how how how how how how	14.0	1.0	4.0	4.5	1	19	18.508943799999543	19.00567940005567
20	simple	fee fee fee fee fee fee fee fee fee	14.5	1.0	4.0	4.5	1	20	19.010138600016944	19.50504399999045
21	simple	neh neh neh neh neh neh neh neh neh	15.0	1.0	4.0	4.5	1	21	19.51050660002511	20.004782399977557
22	simple	airy airy airy airy airy airy airy airy airy	15.5	1.0	4.0	4.5	1	22	20.007938000024296	20.5100153000094
23	simple	would would would would would would would would would	16.0	1.0	4.0	4.5	1	23	20.513186699943617	21.005482699954882
24	simple	thrilled thrilled thrilled thrilled thrilled thrilled thrilled thrilled thrilled	16.5	1.0	4.0	4.5	1	24	21.008491900051013	21.505324100027792
25	simple	pi pi pi pi pi pi pi pi pi	17.0	1.0	4.0	4.5	1	25	21.51170859998092	22.017811199999414
26	simple	picked picked picked picked picked picked picked picked picked	17.5	1.0	4.0	4.5	1	26	22.022338700015098	22.505012199981138
27	simple	caw caw caw caw caw caw caw caw caw	18.0	1.0	4.0	4.5	1	27	22.508018200052902	23.00534529995639
28	simple	pie pie pie pie pie pie pie pie pie	18.5	1.0	4.0	4.5	1	28	23.008453299989924	23.504777899943292
29	simple	ser ser ser ser ser ser ser ser ser	19.0	1.0	4.0	4.5	1	29	23.507967800018378	24.00467509997543
30	simple	mih mih mih mih mih mih mih mih mih	19.5	1.0	4.0	4.5	1	30	24.007795699988492	24.504688099958003
31	simple	jin jin jin jin jin jin jin jin jin	20.0	1.0	4.0	4.5	1	31	24.50837399996817	25.013260300038382
32	simple	jur jur jur jur jur jur jur jur jur	20.5	1.0	4.0	4.5	1	32	25.016620100010186	25.505120299989358
33	simple	less less less less less less less less less	21.0	1.0	4.0	4.5	1	33	25.50920520001091	26.004599799984135
