trial_num	condition	stimulus	start_time	go_signal	resp_time	record_time	iti_dur	run	trial	start_time_real	end_time_real
1	simple	pi pi pi pi pi pi pi pi pi	5.0	1.0	4.0	5.0	1.0	1	1	5.445187799981795	11.445215000072494
2	simple	peck peck peck peck peck peck peck peck peck	11.0	1.0	4.0	5.0	1.0	1	2	11.450822700047866	17.450841600075364
3	simple	airy airy airy airy airy airy airy airy airy	17.0	1.0	4.0	5.0	1.0	1	3	17.45747340004891	23.45751099998597
4	simple	juh juh juh juh juh juh juh juh juh	23.0	1.0	4.0	5.0	1.0	1	4	23.46420709998347	29.464219300076365
5	simple	per per per per per per per per per	29.0	1.0	4.0	5.0	1.0	1	5	29.470911400043406	35.47092790005263
6	simple	ter ter ter ter ter ter ter ter ter	35.0	1.0	4.0	5.0	1.0	1	6	35.47814959997777	41.47817200003192
7	simple	day day day day day day day day day	41.0	1.0	4.0	5.0	1.0	1	7	41.48709830001462	47.48711860005278
8	simple	leh leh leh leh leh leh leh leh leh	47.0	1.0	4.0	5.0	1.0	1	8	47.49618580006063	53.49620430008508
9	simple	jur jur jur jur jur jur jur jur jur	53.0	1.0	4.0	5.0	1.0	1	9	53.50516920001246	59.50522270007059
10	simple	out out out out out out out out out	59.0	1.0	4.0	5.0	1.0	1	10	59.51813740003854	65.51814960001502
11	simple	pro pro pro pro pro pro pro pro pro	65.0	1.0	4.0	5.0	1.0	1	11	65.52852520009037	71.52855080005247
12	simple	if if if if if if if if if	71.0	1.0	4.0	5.0	1.0	1	12	71.54031210008543	77.54032710008323
13	simple	fee fee fee fee fee fee fee fee fee	77.0	1.0	4.0	5.0	1.0	1	13	77.55011010007001	83.55012580007315
14	simple	imah imah imah imah imah imah imah imah imah	83.0	1.0	4.0	5.0	1.0	1	14	83.56604549998883	89.5660588000901
15	simple	would would would would would would would would would	89.0	1.0	4.0	5.0	1.0	1	15	89.57614140002988	95.5761579000391
16	simple	chuck chuck chuck chuck chuck chuck chuck chuck chuck	95.0	1.0	4.0	5.0	1.0	1	16	95.58643360005226	101.58644950005691
17	simple	ver ver ver ver ver ver ver ver ver	101.0	1.0	4.0	5.0	1.0	1	17	101.60218689998146	107.60220369999297
18	simple	thrilled thrilled thrilled thrilled thrilled thrilled thrilled thrilled thrilled	107.0	1.0	4.0	5.0	1.0	1	18	107.61486590001732	113.61487950000446
19	simple	neh neh neh neh neh neh neh neh neh	113.0	1.0	4.0	5.0	1.0	1	19	113.62611870002002	119.62613700004295
20	simple	jin jin jin jin jin jin jin jin jin	119.0	1.0	4.0	5.0	1.0	1	20	119.63986840005964	125.63988240004983
21	simple	a a a a a a a a a	125.0	1.0	4.0	5.0	1.0	1	21	125.65344690007623	131.6534612000687
22	simple	mih mih mih mih mih mih mih mih mih	131.0	1.0	4.0	5.0	1.0	1	22	131.66690449998714	137.66691590007395
23	simple	thurs thurs thurs thurs thurs thurs thurs thurs thurs	137.0	1.0	4.0	5.0	1.0	1	23	137.68278080003802	143.68279270001221
24	simple	less less less less less less less less less	143.0	1.0	4.0	5.0	1.0	1	24	143.69675610004924	149.69677090004552
25	simple	caw caw caw caw caw caw caw caw caw	149.0	1.0	4.0	5.0	1.0	1	25	149.7123711000895	155.71238660009112
26	simple	pot pot pot pot pot pot pot pot pot	155.0	1.0	4.0	5.0	1.0	1	26	155.72970949998125	161.72972559998743
27	simple	through through through through through through through through through	161.0	1.0	4.0	5.0	1.0	1	27	161.74732110009063	167.7473333000671
28	simple	picked picked picked picked picked picked picked picked picked	167.0	1.0	4.0	5.0	1.0	1	28	167.76352759997826	173.76354190008715
29	simple	much much much much much much much much much	173.0	1.0	4.0	5.0	1.0	1	29	173.7814155999804	179.78143309999723
30	simple	ther ther ther ther ther ther ther ther ther	179.0	1.0	4.0	5.0	1.0	1	30	179.80046130006667	185.80052350007463
31	simple	how how how how how how how how how	185.0	1.0	4.0	5.0	1.0	1	31	185.81615600001533	191.81616970000323
32	simple	pie pie pie pie pie pie pie pie pie	191.0	1.0	4.0	5.0	1.0	1	32	191.83414859999903	197.8341746000806
33	simple	ser ser ser ser ser ser ser ser ser	197.0	1.0	4.0	5.0	1.0	1	33	197.8548548000399	203.85487150005065
trial_num	condition	stimulus	start_time	go_signal	resp_time	record_time	iti_dur	run	trial	start_time_real	end_time_real
1	simple	pi pi pi pi pi pi pi pi pi	5.0	1.0	4.0	5.0	1.0	2	1	5.487377999932505	11.487392699928023
2	simple	peck peck peck peck peck peck peck peck peck	11.0	1.0	4.0	5.0	1.0	2	2	11.495530199958012	17.495541799929924
3	simple	airy airy airy airy airy airy airy airy airy	17.0	1.0	4.0	5.0	1.0	2	3	17.501204399974085	23.501236299984157
4	simple	juh juh juh juh juh juh juh juh juh	23.0	1.0	4.0	5.0	1.0	2	4	23.50866309995763	29.508674299926497
5	simple	per per per per per per per per per	29.0	1.0	4.0	5.0	1.0	2	5	29.515181199996732	35.51519189996179
6	simple	ter ter ter ter ter ter ter ter ter	35.0	1.0	4.0	5.0	1.0	2	6	35.52191759995185	41.52193329995498
7	simple	day day day day day day day day day	41.0	1.0	4.0	5.0	1.0	2	7	41.533430699957535	47.53344589995686
8	simple	leh leh leh leh leh leh leh leh leh	47.0	1.0	4.0	5.0	1.0	2	8	47.54260839999188	53.542622499982826
9	simple	jur jur jur jur jur jur jur jur jur	53.0	1.0	4.0	5.0	1.0	2	9	53.55417369992938	59.55467450001743
10	simple	out out out out out out out out out	59.0	1.0	4.0	5.0	1.0	2	10	59.5700798999751	65.5701019000262
11	simple	pro pro pro pro pro pro pro pro pro	65.0	1.0	4.0	5.0	1.0	2	11	65.58349500002805	71.58353129995521
12	simple	if if if if if if if if if	71.0	1.0	4.0	5.0	1.0	2	12	71.59638709994033	77.5964078999823
13	simple	fee fee fee fee fee fee fee fee fee	77.0	1.0	4.0	5.0	1.0	2	13	77.60564439999871	83.60565990000032
14	simple	imah imah imah imah imah imah imah imah imah	83.0	1.0	4.0	5.0	1.0	2	14	83.61869609996211	89.61870959994849
15	simple	would would would would would would would would would	89.0	1.0	4.0	5.0	1.0	2	15	89.63038699992467	95.63040189992171
16	simple	chuck chuck chuck chuck chuck chuck chuck chuck chuck	95.0	1.0	4.0	5.0	1.0	2	16	95.64150449994486	101.64152860001195
17	simple	ver ver ver ver ver ver ver ver ver	101.0	1.0	4.0	5.0	1.0	2	17	101.65191469993442	107.65193299995735
18	simple	thrilled thrilled thrilled thrilled thrilled thrilled thrilled thrilled thrilled	107.0	1.0	4.0	5.0	1.0	2	18	107.67555579997133	113.67557299998589
19	simple	neh neh neh neh neh neh neh neh neh	113.0	1.0	4.0	5.0	1.0	2	19	113.69484429992735	119.6948591999244
20	simple	jin jin jin jin jin jin jin jin jin	119.0	1.0	4.0	5.0	1.0	2	20	119.71028220001608	125.71031499991659
21	simple	a a a a a a a a a	125.0	1.0	4.0	5.0	1.0	2	21	125.72883819998242	131.72885459999088
22	simple	mih mih mih mih mih mih mih mih mih	131.0	1.0	4.0	5.0	1.0	2	22	131.74830420000944	137.7483151999768
23	simple	thurs thurs thurs thurs thurs thurs thurs thurs thurs	137.0	1.0	4.0	5.0	1.0	2	23	137.7651160999667	143.76514279993717
24	simple	less less less less less less less less less	143.0	1.0	4.0	5.0	1.0	2	24	143.78076160000637	149.7807723999722
25	simple	caw caw caw caw caw caw caw caw caw	149.0	1.0	4.0	5.0	1.0	2	25	149.79610389994923	155.79611809994094
26	simple	pot pot pot pot pot pot pot pot pot	155.0	1.0	4.0	5.0	1.0	2	26	155.80967939994298	161.8096979999682
27	simple	through through through through through through through through through	161.0	1.0	4.0	5.0	1.0	2	27	161.82561419997364	167.8256282999646
28	simple	picked picked picked picked picked picked picked picked picked	167.0	1.0	4.0	5.0	1.0	2	28	167.83991699991748	173.83993289992213
29	simple	much much much much much much much much much	173.0	1.0	4.0	5.0	1.0	2	29	173.85797779995482	179.85799549997319
30	simple	ther ther ther ther ther ther ther ther ther	179.0	1.0	4.0	5.0	1.0	2	30	179.8827935999725	185.88282890000846
31	simple	how how how how how how how how how	185.0	1.0	4.0	5.0	1.0	2	31	185.90543259994593	191.90544939995743
32	simple	pie pie pie pie pie pie pie pie pie	191.0	1.0	4.0	5.0	1.0	2	32	191.92785739991814	197.92787289991975
33	simple	ser ser ser ser ser ser ser ser ser	197.0	1.0	4.0	5.0	1.0	2	33	197.94820699992124	203.94824499997776
trial_num	condition	stimulus	start_time	go_signal	resp_time	record_time	iti_dur	run	trial	start_time_real	end_time_real
1	simple	pi pi pi pi pi pi pi pi pi	5.0	1.0	4.0	5.0	1.0	3	1	5.461657900013961	11.461668699979782
2	simple	peck peck peck peck peck peck peck peck peck	11.0	1.0	4.0	5.0	1.0	3	2	11.466941099963151	17.466965300031006
3	simple	airy airy airy airy airy airy airy airy airy	17.0	1.0	4.0	5.0	1.0	3	3	17.472809500060976	23.472824500058778
4	simple	juh juh juh juh juh juh juh juh juh	23.0	1.0	4.0	5.0	1.0	3	4	23.481268199975602	29.48128419998102
5	simple	per per per per per per per per per	29.0	1.0	4.0	5.0	1.0	3	5	29.488701900001615	35.4887335000094
6	simple	ter ter ter ter ter ter ter ter ter	35.0	1.0	4.0	5.0	1.0	3	6	35.49561690003611	41.49563580006361
7	simple	day day day day day day day day day	41.0	1.0	4.0	5.0	1.0	3	7	41.507436600048095	47.50747670000419
