trial_num	condition	stimulus	start_time	go_signal	resp_time	record_time	iti_dur
1	simple	ter ter ter ter ter ter ter ter ter	5.0	1.0	4.0	5.0	1.0
2	simple	mih mih mih mih mih mih mih mih mih	11.0	1.0	4.0	5.0	1.0
3	simple	fee fee fee fee fee fee fee fee fee	17.0	1.0	4.0	5.0	1.0
4	simple	picked picked picked picked picked picked picked picked picked	23.0	1.0	4.0	5.0	1.0
5	simple	imah imah imah imah imah imah imah imah imah	29.0	1.0	4.0	5.0	1.0
6	simple	ther ther ther ther ther ther ther ther ther	35.0	1.0	4.0	5.0	1.0
7	simple	neh neh neh neh neh neh neh neh neh	41.0	1.0	4.0	5.0	1.0
8	simple	thurs thurs thurs thurs thurs thurs thurs thurs thurs	47.0	1.0	4.0	5.0	1.0
9	simple	leh leh leh leh leh leh leh leh leh	53.0	1.0	4.0	5.0	1.0
10	simple	jur jur jur jur jur jur jur jur jur	59.0	1.0	4.0	5.0	1.0
11	simple	peck peck peck peck peck peck peck peck peck	65.0	1.0	4.0	5.0	1.0
12	simple	much much much much much much much much much	71.0	1.0	4.0	5.0	1.0
13	simple	chuck chuck chuck chuck chuck chuck chuck chuck chuck	77.0	1.0	4.0	5.0	1.0
14	simple	out out out out out out out out out	83.0	1.0	4.0	5.0	1.0
15	simple	juh juh juh juh juh juh juh juh juh	89.0	1.0	4.0	5.0	1.0
16	simple	if if if if if if if if if	95.0	1.0	4.0	5.0	1.0
17	simple	a a a a a a a a a	101.0	1.0	4.0	5.0	1.0
18	simple	pi pi pi pi pi pi pi pi pi	107.0	1.0	4.0	5.0	1.0
19	simple	how how how how how how how how how	113.0	1.0	4.0	5.0	1.0
20	simple	pro pro pro pro pro pro pro pro pro	119.0	1.0	4.0	5.0	1.0
21	simple	airy airy airy airy airy airy airy airy airy	125.0	1.0	4.0	5.0	1.0
22	simple	less less less less less less less less less	131.0	1.0	4.0	5.0	1.0
23	simple	ser ser ser ser ser ser ser ser ser	137.0	1.0	4.0	5.0	1.0
24	simple	would would would would would would would would would	143.0	1.0	4.0	5.0	1.0
25	simple	pot pot pot pot pot pot pot pot pot	149.0	1.0	4.0	5.0	1.0
26	simple	naw naw naw naw naw naw naw naw naw	155.0	1.0	4.0	5.0	1.0
27	simple	per per per per per per per per per	161.0	1.0	4.0	5.0	1.0
28	simple	caw caw caw caw caw caw caw caw caw	167.0	1.0	4.0	5.0	1.0
29	simple	jin jin jin jin jin jin jin jin jin	173.0	1.0	4.0	5.0	1.0
30	simple	day day day day day day day day day	179.0	1.0	4.0	5.0	1.0
31	simple	ver ver ver ver ver ver ver ver ver	185.0	1.0	4.0	5.0	1.0
32	simple	through through through through through through through through through	191.0	1.0	4.0	5.0	1.0
33	simple	thrilled thrilled thrilled thrilled thrilled thrilled thrilled thrilled thrilled	197.0	1.0	4.0	5.0	1.0
