trial_num	condition	stimulus	start_time	go_signal	resp_time	record_time	iti_dur
1	simple	juh juh juh juh juh juh juh juh juh	5	1	4	5	1
2	simple	picked picked picked picked picked picked picked picked picked	11	1	4	5	1
3	simple	neh neh neh neh neh neh neh neh neh	17	1	4	5	1
4	simple	jur jur jur jur jur jur jur jur jur	23	1	4	5	1
5	simple	naw naw naw naw naw naw naw naw naw	29	1	4	5	1
6	simple	thought thought thought thought thought thought thought thought thought	35	1	4	5	1
7	simple	thrilled thrilled thrilled thrilled thrilled thrilled thrilled thrilled thrilled	41	1	4	5	1
8	simple	leh leh leh leh leh leh leh leh leh	47	1	4	5	1
9	simple	jin jin jin jin jin jin jin jin jin	53	1	4	5	1
10	simple	how how how how how how how how how	59	1	4	5	1
11	simple	chuck chuck chuck chuck chuck chuck chuck chuck chuck	65	1	4	5	1
12	simple	per per per per per per per per per	71	1	4	5	1
13	simple	out out out out out out out out out	77	1	4	5	1
14	simple	thir thir thir thir thir thir thir thir thir	83	1	4	5	1
15	simple	a a a a a a a a a	89	1	4	5	1
16	simple	per per per per per per per per per	95	1	4	5	1
17	simple	the the the the the the the the the	101	1	4	5	1
18	simple	ti ti ti ti ti ti ti ti ti	107	1	4	5	1
19	simple	day day day day day day day day day	113	1	4	5	1
20	simple	thurs thurs thurs thurs thurs thurs thurs thurs thurs	119	1	4	5	1
21	simple	ver ver ver ver ver ver ver ver ver	125	1	4	5	1
22	simple	thieves thieves thieves thieves thieves thieves thieves thieves thieves	131	1	4	5	1
23	simple	pro pro pro pro pro pro pro pro pro	137	1	4	5	1
24	simple	pie pie pie pie pie pie pie pie pie	143	1	4	5	1
25	simple	if if if if if if if if if	149	1	4	5	1
26	simple	through through through through through through through through through	155	1	4	5	1
27	simple	caw caw caw caw caw caw caw caw caw	161	1	4	5	1
28	simple	imah imah imah imah imah imah imah imah imah	167	1	4	5	1
29	simple	fee fee fee fee fee fee fee fee fee	173	1	4	5	1
30	simple	mih mih mih mih mih mih mih mih mih	179	1	4	5	1
31	simple	less less less less less less less less less	185	1	4	5	1
32	simple	three three three three three three three three three	191	1	4	5	1
33	simple	ther ther ther ther ther ther ther ther ther	197	1	4	5	1
34	simple	would would would would would would would would would	203	1	4	5	1
35	simple	airy airy airy airy airy airy airy airy airy	209	1	4	5	1
36	simple	peck peck peck peck peck peck peck peck peck	215	1	4	5	1
37	simple	throne throne throne throne throne throne throne throne throne	221	1	4	5	1
38	simple	much much much much much much much much much	227	1	4	5	1
39	simple	ter ter ter ter ter ter ter ter ter	233	1	4	5	1
40	simple	ser ser ser ser ser ser ser ser ser	239	1	4	5	1
41	simple	pot pot pot pot pot pot pot pot pot	245	1	4	5	1
42	simple	pi pi pi pi pi pi pi pi pi	251	1	4	5	1
